"Sx_Code","Sx_Description","MR4","MR1","MR2","MR3","MR5","MR6"
"borderline7","Fear of abandonment",0.0306093155725409,0.480225255510043,0.0238933574115087,0.00986321632286927,0.027450416676363,0.190279641267277
"borderline8","Affective instability",0.127183943066805,0.556535951679259,0.0975609306627203,0.0143667757937539,0.0754008192448732,0.006109443038084
"borderline9","Intense anger",0.316625074515081,0.400234643023133,0.0508928988719147,0.0258542308280521,0.0836715693655471,-0.0224776674730326
"dependent1","Inability to make decisions on own",-0.134170745482772,0.162334052358162,0.00640232853364472,-0.0833858049742041,0.0606253764836427,0.381499458363489
"dependent2","Gives other responsibility",-0.0517962444165227,0.141550857100475,-0.0148768524668547,-0.0591379084573071,0.0709619573415747,0.448466027269352
"dependent3","Can't initiate tasks",-0.102584489619475,0.0392533069699953,0.110833915878329,0.0144870013245566,-0.110434087266054,0.54781294330278
"dependent4","Replaces relationships quickly",0.0941223679874053,0.164499819989117,0.165193632219388,0.119587474637746,0.0539198953354004,0.2374438842715
"dependent5","Always agrees with others",0.026794328161012,-0.0149610727748865,0.183723671392099,-0.0493715906975169,-0.0405998157370397,0.235895578807052
"dependent8","Fear of being left to care for self",-0.206864551587942,0.188983447059051,0.0162136882123444,-0.0467967087987725,-0.0534277472237905,0.309967729526568
"histrionic1","suggestible",0.0951087193724817,0.166701822780567,-0.0182807118911927,-0.0799996361456076,0.040109577376374,0.258717036259273
"histrionic2","Desire to be center of attention",-0.0745745870033422,0.0290861059761518,-0.0710044796285158,0.31209538518816,0.0646037808559682,0.378397796695515
"histrionic3","Uses appearance to attract attention",0.0172466984277701,0.257736963048672,-0.13852133208533,0.205548438121049,0.177954637845566,0.0601986545432312
"histrionic4","Thinks other are closer than in reality",-0.0300519155801005,0.340093118680662,-0.0085431455694407,0.0231221203247428,0.196212794804132,0.0335711367753255
"histrionic5","self-dramatization",-0.156357025629414,0.353464070663169,-0.0287441075742021,0.268403797232684,0.0289356808617074,0.0183054426310334
"histrionic6","shallow or shifting emotions",-0.00464847649887769,0.394343630151121,-0.0222868811012357,-0.0129710296465183,0.231296820053623,0.108537244611026
"histrionic7","Provocative or sexualized behavior",0.196889999265911,0.209081535250059,-0.102564646946012,0.0871657434272548,0.12522874682082,0.0610570015847217
"narcissistic1","Requires excessive admiration",0.0120713833833827,-0.0782353692473131,-0.0337183020707578,0.570143012458453,-0.0220541230739524,0.0931498530024997
"narcissistic2","Grandiosity",0.103413310979114,0.109058843873549,-0.082505513793126,0.500800310259766,0.0466724996252811,-0.0542757014942032
"narcissistic3","Fantasies",-0.0665391567859101,0.0416996041855802,0.167543212790677,0.550146087607507,0.024121250409372,0.000810021380057646
"narcissistic4","Feelings of uniqueness",0.120306705277065,-0.0353774926051538,0.00447045113712036,0.461515907989608,0.0879368536436111,0.0530879172582178
"narcissistic5","Lacks empathy ",0.166901344999,-0.0866984640343419,-0.147139436181843,0.224684611371773,0.31542028669048,-0.017111822041567
"narcissistic6","sense of entitlement ",0.0162250310264519,0.00357154955173405,-0.015187841833464,0.549098452934042,0.106001342036298,-0.0984117455124078
"narcissistic7","Exploitative",0.168774013035998,-0.0515988844800595,-0.107715674053698,0.297291210230027,0.242885599658798,0.114290646983069
"narcissistic8","Envious of others/perceives others as envious",-0.131147057065395,0.181702859654247,0.0784098802769551,0.474637699505175,-0.0349942099627783,0.0021251188710549
"narcissistic9","Arrogant, haughty",0.0834556680224872,-0.0131210068679708,-0.0001536943942331,0.578311947712134,-0.111195528529932,-0.0369762979458294
"oc3","Preoccupied with details",0.00422691500940474,0.00361443787425121,0.1063434468098,0.0414939662946628,0.213450809582942,-0.0518020098126652
"oc4","Hoarding",-0.0771700929837057,0.108558847967884,0.0455007409102878,-0.0331923942356169,0.276558647758035,0.196788155434152
"oc7","Can't delegate tasks",-0.0763482220073815,0.184241902106468,-0.0428055135633667,0.0304850100000698,0.463928779093016,-0.210901923769481
"oc8","Rigid and stubborn",0.0517102498045516,0.10860803431315,0.152268210274553,0.0343001825285087,0.450788070415771,-0.286367074115532
"paranoid1","Reluctant to confide due to fear of maliciousness",-0.064385932515028,-0.0366826663057541,0.0303896655230305,-0.0298734367979853,0.570921711385313,0.0386113731876688
"paranoid2","Unjustified doubt in loyalty and trust",0.00536899836249711,0.103972635660401,0.0742647070528229,-0.00979363808099618,0.488018083691765,0.0777691583804428
"paranoid3","Persistent grudges",-0.0214044272933875,0.197892009478775,0.00316681271411162,0.16997075179665,0.415039866789711,-0.133445152892359
"paranoid4","Perceives attacks on character",-0.0267343970030778,0.12553048018814,0.019901278555765,0.146511061322403,0.145368225466064,0.212748814301417
"paranoid5","Perceives hidden threatening ",0.0160755399979564,0.0235883211735732,0.0216217799783746,0.187918624852349,0.352655559838819,0.168648737984005
"paranoid6","suspects harm, exploitation, and deceit",-0.00865891642568459,0.195482993794828,0.0422004222414898,0.134987060415827,0.267832078696262,0.178787413278766
"paranoid7","suspects infidelity",0.101549580951752,0.0713658568747417,0.0286290659206677,0.0688875176742199,0.21196111693809,0.0426099044529428
"schizoid1","No close friends",0.137187272258461,-0.230406493899974,0.111793643155672,-0.0577431568482329,0.360778831346945,0.0866422366327969
"schizoid2","No desire for relationships",0.0244848500386029,-0.188517944975581,0.0562418373670143,0.0518089302587146,0.423278525852393,0.204616192096482
"schizoid3","Almost always solitary",0.19615913767115,-0.304001270838631,0.33310633866428,-0.0505578370439833,0.161924699756103,0.14221510655585
"schizoid6","No interest in sexual activity",-0.00118937526883269,-0.0325991115102554,0.264275087260178,-0.0441178055817537,0.0271967333047896,0.121629137857735
"schizotypal1","Social anxiety",0.0966503147179646,-0.232397377837061,0.258269938236237,-0.0368794095934475,0.273527949221561,0.175252475946152
"schizotypal2","Ideas of reference",0.0380977909849421,0.114696064705639,0.236253263120729,-0.0666115431188153,0.12166819700397,0.159502856546884
