"Sx_Code","Sx_Description","MR2","MR1","MR3"
"dependent5","Always agrees with others",0.278503742300713,-0.00613365744263219,-0.0309670524327972
"dependent8","Fear of being left to care for self",0.233279921826711,-0.121524055317695,0.0779131209379055
"histrionic1","suggestible",0.177408351803388,0.172817254866292,0.0413012255489853
"histrionic2","Desire to be center of attention",0.138444425915694,-0.101903062757666,0.460063503431378
"histrionic3","Uses appearance to attract attention",0.00215585198988955,0.158045617186718,0.354167655429434
"histrionic4","Thinks other are closer than in reality",0.163682452589608,0.175527237270228,0.169805866995108
"histrionic5","self-dramatization",0.0457984726306082,0.0175178433455847,0.358651539568923
"histrionic6","shallow or shifting emotions",0.220975258378199,0.230124181266255,0.180546896342008
"histrionic7","Provocative or sexualized behavior",-0.00371522874812937,0.308350003545025,0.189440551641233
"narcissistic1","Requires excessive admiration",-0.0980609758407854,-0.0914401400071302,0.558588908957375
"narcissistic2","Grandiosity",-0.159372080764164,0.122577836314949,0.514370095639727
"narcissistic3","Fantasies",0.0867933044660305,-0.0909012795761554,0.51921928495772
"narcissistic4","Feelings of uniqueness",-0.0284134143145297,0.0614002416746285,0.475210973467901
"narcissistic5","Lacks empathy ",-0.0803228611982309,0.143268590291433,0.314696270769238
"narcissistic6","sense of entitlement ",-0.11348999077141,-0.0102898740921224,0.539110503318413
"narcissistic7","Exploitative",-0.0100508697644059,0.135472474971306,0.400345185748733
"narcissistic8","Envious of others/perceives others as envious",0.0326169149551101,-0.0785025864222593,0.475959923002554
"narcissistic9","Arrogant, haughty",-0.173892278343561,0.00866669530524838,0.491278646678119
"oc3","Preoccupied with details",0.151157790260173,0.0368798541290165,0.0775394323112439
"oc4","Hoarding",0.306379843688108,0.0118963324186862,0.140985657877091
"oc7","Can't delegate tasks",0.0863703626088763,0.109169351985776,0.170367125034405
"oc8","Rigid and stubborn",0.175296101172828,0.185300244574253,0.0917153524860468
"paranoid1","Reluctant to confide due to fear of maliciousness",0.290901228171538,0.00796890565087942,0.168207143232838
"paranoid2","Unjustified doubt in loyalty and trust",0.336283082388337,0.125373402398731,0.188087805114628
"paranoid3","Persistent grudges",0.121983365142443,0.140839922776551,0.302548592849909
"paranoid4","Perceives attacks on character",0.204227094111445,0.0289341151432429,0.281816031121385
"paranoid5","Perceives hidden threatening ",0.235495471400097,0.0480745023714486,0.354569170259774
"paranoid6","suspects harm, exploitation, and deceit",0.271349021578608,0.104870657253451,0.310863119272752
"paranoid7","suspects infidelity",0.130109499140676,0.155866099916019,0.152922523599876
"schizoid1","No close friends",0.24045360432876,0.0586312049824497,0.0199238101732744
"schizoid2","No desire for relationships",0.288944537398927,-0.0315269374636674,0.205040615471802
"schizoid3","Almost always solitary",0.354926673888003,0.0345690836827954,-0.0806109624332279
"schizoid6","No interest in sexual activity",0.317025269034991,-0.0264677792791338,-0.0525112696866605
"schizotypal1","Social anxiety",0.383877584954235,-0.00571189501770974,0.0125887402959003
"schizotypal2","Ideas of reference",0.383354664194155,0.104687765388494,-0.00186588916030278
